num,title
782,Journal of the Korean Society of Clothing and Textiles
279,Human Resource Development Review
856,Organizacija
887,Property Management
1117,Water Policy
432,International Journal of Process Management and Benchmarking
919,Research in transportation business and management
656,Journal of International Logistics and Trade
20,Accounting and Finance
672,Journal of Management Accounting Research
985,Studies in Business and Economics
301,Industrial and Organizational Psychology
1085,Tourism Review International
391,International Journal of Information and Education Technology
846,Nordic Journal of Working Life Studies
260,Global Finance Journal
1027,The International Journal of Higher Education
498,Iranian Journal of Management Studies
121,Communication Research Reports
414,International Journal of Management and Business Research
141,Current Issues in Auditing
657,Journal of International Management
729,Journal of Reviews on Global Economics
1055,The Journal of Risk Finance
564,Journal of Corporate Real Estate
624,Journal of Governance and Regulation
519,Journal of Applied Research in Higher Education
524,Journal of Asian Architecture and Building Engineering
383,International Journal of Globalisation and Small Business
1008,The American Review of Public Administration
655,"Journal of International Financial Markets, Institutions and Money"
118,Collection Building
505,Journal of Advanced Manufacturing Systems
401,International Journal of Intercultural Relations
242,Financial Innovation
146,"Cyberpsychology, behavior and social networking"
424,"International Journal of Mining, Reclamation and Environment"
343,International Journal of Commerce and Management
499,Issues in Accounting Education
907,Quantitative Marketing and Economics
272,"Higher Education, Skills and Work-Based Learning"
268,Health Care Management Review
604,Journal of Fashion Marketing and Management
997,TEM Journal
1043,The Journal of High Technology Management Research
787,Journalism Studies
91,Business History
304,Info
59,Asia-pacific Journal of Business Administration
905,"Quality, Innovation, Prosperity"
1062,The Learning Organization
207,Euromed Journal of Business
38,American Behavioral Scientist
1023,The Health Care Manager
1005,Telecommunications Policy
447,International Journal of Revenue Management
7,Academy of Management Learning and Education
715,Journal of Psychology in Africa
914,Research Policy
1001,Technological and Economic Development of Economy
638,Journal of Industrial and Management Optimization
945,Safety
868,Personnel Psychology
248,Forest Policy and Economics
940,SA Journal of Human Resource Management
711,"Journal of Policy Research in Tourism, Leisure and Events"
528,Journal of Behavioral Finance
1097,Transportation Planning and Technology
1093,Transport Reviews
839,Mediterranean Journal of Social Sciences
556,Journal of Consumer Behaviour
23,Acta Oeconomica
860,Organizational Behavior and Human Decision Processes
831,Marketing Science
894,Public Performance & Management Review
778,Journal of the Association for Information Science and Technology
759,Journal of Transportation Systems Engineering and Information Technology
245,Food Policy
1121,"Work, Employment and Society"
1114,Venture Capital
234,Evaluation and program planning
763,Journal of Workplace Behavioral Health
626,Journal of Health Communication
1073,The asian journal of shipping and logistics
412,International Journal of Management Practice
1080,Tourism Geographies
1112,Utilities Policy
15,Accounting Forum
581,Journal of Education and Work
526,Journal of Asset Management
819,Management and Labour Studies
781,Journal of the Korean Society for Railway
818,Management Systems in Production Engineering
1060,The Journal of international studies
628,Journal of Higher Education Policy and Management
1094,Transportation
209,European Business Law Review
612,Journal of Financial Services Marketing
974,South African Journal of Business Management
1040,The Journal of Developing Areas
1131,foresight
923,Restaurant Business
717,Journal of Public Affairs
866,Periodica Polytechnica Social and Management Sciences
409,International Journal of Learning and Intellectual Capital
87,British Journal of Management
487,International Review on Public and Nonprofit Marketing
841,Mental Health and Social Inclusion
731,Journal of Rural Studies
620,Journal of Global Information Technology Management
666,"Journal of Legal, Ethical and Regulatory Issues"
452,International Journal of Social Ecology and Sustainable Development
425,International Journal of Monetary Economics and Finance
903,Quality Management Journal
842,Montenegrin journal of economics
417,International Journal of Management and Sustainability
786,Journalism Practice
851,Operational Research
1042,The Journal of Extension
1105,Transportation Research Part F: Traffic Psychology and Behaviour
967,Social Science Computer Review
288,IEEE Transactions on Professional Communication
1032,"The International Review of Retail, Distribution and Consumer Research"
201,Environmental innovation and societal transitions
456,International Journal of Sports Marketing and Sponsorship
927,Review of Economics and Finance
480,International Journal on Food System Dynamics
250,Frontiers of Business Research in China
36,Agricultural Finance Review
557,Journal of Consumer Culture
871,Pesquisa Operacional
258,Global Business and Economics Review
255,Geographical Research
462,International Journal of Sustainable Society
451,International Journal of Shipping and Transport Logistics
716,Journal of Public Administration Research and Theory
588,Journal of Empirical Finance
169,Economics Letters
52,Archives of Design Research
94,Business Perspectives and Research
1130,e-review of tourism research
982,Strategic Management Journal
916,Research in International Business and Finance
131,Cornell Hospitality Quarterly
186,Energy Economics
24,Acta Psychologica Sinica
345,International Journal of Conflict Management
1045,The Journal of Index Investing
1128,Young Consumers
1070,The Social Sciences
441,International Journal of Public Administration
132,"Corporate Board: role, duties and composition"
870,Pertanika journal of social science and humanities
697,Journal of Multinational Financial Management
174,Education + Training
461,International Journal of Sustainable Development and Planning
710,Journal of Place Management and Development
170,Economics of Innovation and New Technology
1076,Tizard Learning Disability Review
925,Review of Accounting and Finance
573,Journal of East-West Business
474,International Journal of Urban Sciences
