num,title
529,Medical anthropology quarterly
360,International Sociology
390,Journal of Chinese Governance
371,Iranian Studies
370,Interventions
748,The Journal of North African Studies
179,Educational Philosophy and Theory
633,RUDN Journal of Russian History
279,Health security
466,Journal of Political Marketing
584,Policy Design and Practice
226,European journal of social sciences
565,"Parliaments, Estates and Representation"
27,Ambio
299,Information Development
256,Global Responsibility To Protect
552,Nonprofit and Voluntary Sector Quarterly
29,American Ethnologist
196,Eurasian Geography and Economics
178,Education Policy Analysis Archives
306,International Area Studies Review
101,China: An International Journal
435,Journal of Human Rights and Social Work
30,American Foreign Policy Interests
419,Journal of Environmental Studies and Sciences
323,International Journal of Cultural Studies
354,International Relations of the Asia-Pacific
711,Technology in Society
694,Southeast Asian Studies
713,Telos
129,Contemporary Political Theory
151,Current Anthropology
491,Journal of Urban Affairs
329,"International Journal of Politics, Culture, and Society"
611,Postcolonial Studies
670,Social Forces
288,Human Ecology
