num,title
119,Bulletin of the Menninger Clinic
136,Childhood
16,Advances in Neurodevelopmental Disorders
479,Journal of Organizational Behavior Management
645,"Personality Disorders: Theory, Research, and Treatment"
578,Language Learning and Development
803,Teaching and Learning in Medicine
817,The British journal of educational psychology
226,Ecopsychology
613,Nature and Science of Sleep
739,Research on Aging
674,Psychoanalytic review
120,CBE Life Sciences Education
33,American Journal of Sexuality Education
587,Legal and Criminological Psychology
505,Journal of Research on Adolescence
490,Journal of Psychology and Theology
858,Thinking Skills and Creativity
825,The Family Journal
351,International Journal of Wellbeing
169,Collabra: Psychology
652,Phenomenology and the Cognitive Sciences
736,Research in Human Development
200,Demography
191,Current Developmental Disorders Reports
633,Occupational Therapy in Mental Health
477,Journal of Offender Rehabilitation
451,Journal of Health and Social Behavior
156,Cognitive And Behavioral Neurology
621,Neuropsychological rehabilitation
548,Journal of graduate medical education
153,Cogent Psychology
248,European Early Childhood Education Research Journal
828,The International Journal of Aging and Human Development
588,Leisure Sciences
212,Deviant Behavior
765,Sexual and Relationship Therapy
252,European Journal of Criminology
677,Psychologica Belgica
254,"European Journal of Investigation in Health, Psychology and Education"
382,Journal of Business and Psychology
704,Psychology of Addictive Behaviors
263,Europe’s Journal of Psychology
424,Journal of Economic Psychology
786,Social Work in Public Health
834,The Journal of Experimental Education
149,Clinical Psychologist
56,Applied Psychophysiology and Biofeedback
320,International Journal for the Advancement of Counselling
758,Scientific Studies of Reading
516,Journal of Social and Political Psychology
36,American journal of physical anthropology
648,Personality and Social Psychology Review
737,"Research in Psychotherapy : Psychopathology, Process, and Outcome"
440,Journal of Family Social Work
614,Nature human behaviour
847,The Mental Health Clinician
172,Communication Monographs
701,Psychology and Neuroscience
799,Suicide and Life‐Threatening Behavior
455,Journal of Individual Differences
430,Journal of Ethnicity in Substance Abuse
245,Ethical Human Psychology and Psychiatry
137,Children Australia
475,Journal of Occupational Science
306,Identity
344,International Journal of Psychology
594,Medical Science Educator
343,International Journal of Psychoanalytic Self Psychology
127,Child Language Teaching and Therapy
659,Professional Psychology: Research and Practice
824,The European Journal of Health Economics
141,Children's Health Care
242,Environmental Education Research
571,Journal of transport and health
661,Psicologia: Teoria E Pesquisa
2,AMA journal of ethics
569,Journal of the Society for Social Work and Research
630,North American Journal of Psychology
734,Research Synthesis Methods
580,"Language, speech, and hearing services in schools"
251,European Journal of Behavior Analysis
759,Scientometrics
672,Psychoanalytic Psychology
369,Journal of Applied School Psychology
801,Swiss Journal of Psychology
413,Journal of Counseling Psychology
833,The Journal of Educational Research
109,Borderline Personality Disorder and Emotion Dysregulation
300,Human Communication Research
